siman|seif|text
סימן א - דיני השכמת הבוקר ובו ז' סעיפים:|א|שויתי ה' לנגדי תמיד, הוא כלל גדול בתורה ובמעלות הצדיקים אשר הולכים לפני האלוהים. כי אין ישיבת האדם תנועתו ועסקיו והוא לבדו בביתו, כמו ישיבתו ותנועתו ועסקיו כאשר הוא לפני מלך גדול. וכן אין דבורו והרחבת פיו בהיותו עם אנשי ביתו וקרוביו, כמו בהיותו במושב המלך, כי אז משגיח בודאי על כל תנועותיו ודבוריו שיהיו מתוקנים כראוי. כל שכן כאשר ישים האדם אל לבו כי המלך הגדול הקדוש ברוך הוא אשר מלא כל הארץ כבודו עומד עליו ורואה במעשיו, כמו שנאמר, אם יסתר איש במסתרים ואני לא אראנו נאום ה', הלוא את השמים ואת הארץ אני מלא, בודאי מיד תגיע אליו היראה וההכנעה מפחד השם יתברך ויבוש ממנו (אורח חיים סעיף א).
סימן א - דיני השכמת הבוקר ובו ז' סעיפים:|ב|וגם בשכבו על משכבו, ידע לפני מי הוא שוכב. ומיד כשיעור משנתו יזכור חסדי ה', יתברך שמו אשר עשה עמו שהחזיר לו את נשמתו אשר הפקידה אצלו עיפה, והחזירה לו חדשה ורגועה כדי לעבוד עבודתו יתברך שמו בכל יכלתו ולשרתו כל היום, כי זה כל האדם, כמו שאמר הכתוב, חדשים לבקרים רבה אמונתך, פרוש, בכל בוקר נעשה האדם בריה חדשה. ויודה בכל בוקר להשם יתברך שמו על זאת. ובעודו על משכבו, יאמר, מודה אני לפניך מלך חי וקים שהחזרת בי נשמתי בחמלה, רבה אמונתך (ואף על פי שעדין אין ידיו נקיות, יכול לומר זאת, כיון שאין בו שם). ויפסיק מעט בין תבת בחמלה לתבת רבה (שם ובמגן אברהם ויד אפרים סוף סימן ד).
סימן א - דיני השכמת הבוקר ובו ז' סעיפים:|ג|יהודה בן תימא אומר, הוי עז כנמר וקל כנשר, רץ כצבי וגבור כארי לעשות רצון אביך שבשמים. עז כנמר, פרושו שלא יתביש מפני בני אדם המלעיגים עליו בעבודת ה' יתברך שמו. קל כנשר, כנגד ראות העין. לומר שתהא קל לעצום עיניך מראות ברע, כי הוא התחלת העברה, העין רואה, והלב חומד, וכלי מעשה גומרים. רץ כצבי, כנגד הרגלים, שרגליך לטוב ירוצו. וגבור כארי, כנגד הלב, כי הגבורה בעבודת הבורא יתברך, היא בלב. ואמר שתחזק לבך בעבודתו ותתגבר על היצר לנצחו כגבור המתגבר על שונאו לנצחו ולהפילו לארץ (אורח חיים סימן א).
סימן א - דיני השכמת הבוקר ובו ז' סעיפים:|ד|לכן צריך האדם להתגבר כארי, ומיד כשיעור משנתו (ואמר מודה אני וכו'), יקום בזריזות לעבודת הבורא יתברך ויתעלה קודם שיתגבר עליו היצר הרע בטענות ותואנות לבל יקום. ויתחכם עליו להשיאו בחורף, איך תקום עתה בבוקר השכם והקור גדול. ובקיץ ישיאנו, איך תקום ממטתך ועדין לא שבעת משנתך. או בטענות אחרות וכדומה. כי היצר הרע הוא יודע היטב לצוד בני אדם במהמורות בל יקום. ולכן כל בעל נפש הירא וחרד לדבר ה', צריך להתגבר עליו ולא ישמע לו. ואף אם יכבד עליו הדבר מפני כבדות הגוף ועצלותו, ישים מגמתו רצון מלך מלכי המלכים הקדוש ברוך הוא. וישים אל לבו כי אם היה קורא אותו איזה אדם לאיזה עסק שירויח בו ממון או לגבות חובו, או שהיה קורא אותו שיציל את ממונו מן ההפסד, כגון אם נפלה דלקה בעיר וכדומה, בודאי היה זריז לקום מיד מפני אהבת ממונו ולא היה מתרשל. וכן אם צריך ללכת לעבודת המלך, היה קם בזריזות ולא היה מתרשל, פן יעלילו עליו או כדי למצא חן בעיני המלך. על אחת כמה וכמה לעבודת מלך מלכי המלכים הקדוש ברוך הוא, שיש לו להזהר לקום במהירות ובזריזות. והמרגיל את עצמו בדרך הזה ארבע או חמש פעמים, לא יכבד עליו אחר כך. והבא לטהר, מסיעין לו (סדר היום וסדור דרך החיים).
סימן א - דיני השכמת הבוקר ובו ז' סעיפים:|ה|אם אפשר לו להשכים ולקום בחצות הלילה לערוך אז תקון חצות, מה טוב, כמו שנאמר, קומי רוני בלילה לראש אשמורות וגו'. וכמו שהקדוש ברוך הוא מקונן בעת ההיא, שנאמר, ה' ממרום ישאג וממעון קדשו יתן קולו שאוג ישאג על נוהו, ואומר, אוי לבנים שבעונותיהם החרבתי את ביתי ושרפתי את היכלי והגליתים לבין האומות. ואם אי אפשר לו לקום בחצות, יתגבר על כל פנים לקום קודם עלות השחר. וכמו שאמר דוד המלך עליו השלום, אעירה שחר, אני מעורר את השחר ואין השחר מעורר אותי. וגם לאחר חצות הלילה, יכול לערוך תקון חצות, ואחר כך יעסוק בתורה איש איש כפי יכלתו. ושעור משניות קודם לכל דבר (ועל ידי זה זוכה לנשמה, משנה אותיות נשמה). ואם אינו בר הכי, יעסוק בתהלים ומעמדות וספרי מוסר. וטוב מעט בכונה, מהרבות בלא כונה. תנא רבי חיא, כל העוסק בתורה בלילה, שכינה כנגדו, שנאמר, קומי רוני בלילה לראש אשמורות שפכי כמים לבך נוכח פני ה'. פרוש, שהשכינה היא אז כנגדך. עוד אמרו רבותינו זכרונם לברכה, שכל העוסק בתורה בלילה, נקרא עבד ה', כמו שכתוב, כל עבדי ה' העומדים בבית ה' בלילות (ועין לקמן סימן עא). ובלילות הקצרים שאי אפשר לו להשכים כל כך, לכל הפחות יתאמץ לקום בעוד שיהיה לו זמן להכין את עצמו ללכת לבית הכנסת להתפלל עם הצבור (אורח חיים סימן א').
סימן א - דיני השכמת הבוקר ובו ז' סעיפים:|ו|מזמורי תהלים וכן שאר פרשיות מתורה נביאים וכתובים שאינם שגורים בפי הכול, אסור לאמרם בעל פה. אפלו מי שהוא יודע לאמרם בעל פה, יש לו לזהר שלא לאמרם בעל פה. וסומא מותר (סימן מ"ט).
סימן א - דיני השכמת הבוקר ובו ז' סעיפים:|ז|יש למחות ביד האומרים תחנות שבמעמדות שמסימים, ברוך אתה ה' שומע תפלה, אלא יש לומר, ברוך שומע תפלה, בלא שם (טו"ז סוף סימן קל"א).
סימן ב - הלכות נטילת ידים שחרית ובו ט' סעיפים:|א|לפי שהאדם כאשר קם ממטתו שחרית הוא כמו בריה חדשה לעבודת הבורא יתברך שמו, לכן צריך להתקדש ולטול ידיו מן הכלי, כמו כהן שהיה מקדש ידיו בכל יום מן הכיור קודם עבודתו. וסמך לנטילה זו מן המקרא, שנאמר, ארחץ בנקיון כפי ואסובבה את מזבחך ה' לשמיע בקול תודה וגו'. ועוד יש טעם לנטילה זאת, לפי שבשעת שנה שנסתלקה ממנו נשמתו הקדושה בא רוח הטומאה ושורה על גופו. וכשנעור משנתו, מסתלק רוח הטומאה מכל גופו חוץ מן אצבעותיו שאינו עובר מעליהן עד ששופך עליהן שלוש פעמים מים בסרוגים. ואסור לילך ארבע אמות בלי נטילת ידים אם לא לצורך גדול מאוד (סימן ד').
סימן ב - הלכות נטילת ידים שחרית ובו ט' סעיפים:|ב|ילבש מלבוש הראשון את הטלית קטן, שלא ילך ארבע אמות בלי ציצית. ולפי שעדין אין ידיו נקיות, לא יברך עליו (סימן ח').
סימן ב - הלכות נטילת ידים שחרית ובו ט' סעיפים:|ג|נטילת ידים שחרית היא בדרך זה. נוטל את הכלי ביד ימינו ונותנו לשמאלו, ושופך תחלה על יד ימין, ואחר כך נוטל את הכלי בימינו ושופך על יד שמאל. וכן יעשה שלוש פעמים. וטוב לטלן עד פרק הזרוע. אך בשעת הדחק, די עד קשרי אצבעותיו. ורוחץ פניו לכבוד יוצרו, שנאמר, כי בצלם אלוהים עשה את האדם. וגם ירחץ פיו מפני הרירים שבתוכו, שצריך להזכיר את השם הגדול בקדושה ובטהרה. ואחר כך מנגב ידיו. ויזהר לנגב פניו יפה.
